Periodo,Número total de llamadas recibidas por mes (NLLR),Número total de llamadas atendidas en IVR por mes (NRIVR),Número total de llamadas desistidas en IVR por mes (NDIVR),Número total de llamadas atendidas por ejecutivo por mes (NREJC),Número total de llamadas cursadas por gestión de abandono por mes (NGA),Porcentaje de llamadas perdidas (LLP%),"Tasa de ocupación de las líneas, registradas con una frecuencia de una hora (OC)","Tiempo promedio de espera, considerando las llamadas atendidas por un ejecutivo (TPE)","Tiempo de conversación promedio, considerando las llamadas atendidas por un ejecutivo (TPC)"
2023-07-01,2907,700,0,2207,478,16.44,0,00:05:09,00:07:24
2023-06-01,3785,925,0,1972,554,14.63,0,00:04:51,00:07:09
2023-05-01,3342,816,0,1958,902,26.98,0,00:04:28,00:06:58
2023-04-01,4280,938,0,2285,1057,24.69,0,00:04:56,00:06:48
2023-03-01,3556,806,0,2163,587,16.5,0,00:04:33,00:06:14
2023-02-01,4078,981,0,2709,438,10.74,0,00:04:06,00:07:24
2023-01-01,3914,791,0,2416,707,18.06,0,00:04:27,00:06:42
2022-12-01,3522,788,0,1938,796,22.6,0,00:05:16,00:06:28
2022-11-01,2933,680,0,1680,549,19.53,0,00:06:48,00:06:49
2022-10-01,3240,746,0,1994,338,15.43,0,00:06:18,00:05:25
2022-09-01,3263,731,0,1571,89,29.45,0,00:06:47,00:08:31
2022-08-01,3435,914,0,1953,377,16.53,0,00:04:32,00:07:46
2022-07-01,3765,1283,0,1980,220,13.33,0,00:06:54,00:07:09
2022-06-01,2841,870,0,1538,361,15.24,0,00:05:47,00:06:17
2022-05-01,5277,1322,0,2416,345,29.16,0,00:03:56,00:07:49
2022-04-01,6089,1790,0,1926,520,38.97,0,00:05:12,00:04:20
2022-03-01,4871,914,0,1517,223,45.43,0,00:04:39,00:04:53
2022-02-01,5775,1440,0,1887,98,40.69,0,00:05:09,00:05:32
2022-01-01,4582,1066,0,1740,163,35.2,0,00:04:03,00:04:46
2021-12-01,3579,951,0,1829,98,19.55,0,00:05:19,00:04:37
2021-11-01,2341,759,0,1088,120,77.01,0,00:04:34,00:03:09
2021-10-01,3798,697,0,1188,114,50.36,0,00:03:45,00:05:26
2021-09-01,5384,1440,0,2012,159,35.88,0,00:02:43,00:00:50
2021-08-01,8021,2478,0,2774,201,34.52,0,00:04:21,00:02:07
2021-07-01,3739,645,0,1578,218,40.54,0,00:02:15,00:05:00
2021-06-01,3774,623,0,1610,94,40.83,0,00:00:17,00:01:10
2021-05-01,3664,694,0,1824,103,31.27,0,00:00:13,00:00:55
2021-04-01,4118,854,0,2324,236,22.82,0,00:00:09,00:00:40
2021-03-01,3768,629,0,2394,290,19.77,0,00:00:18,00:00:56
2021-02-01,3365,1,0,2488,53,26.03,0,00:00:12,00:00:50
2021-01-01,6649,116,0,3112,0,51.45,0,00:00:22,00:00:45
2020-12-01,6374,0,0,2804,0,56.01,0,00:00:18,00:00:40
2020-11-01,4561,0,0,2405,0,47.27,0,00:00:25,00:01:01
2020-10-01,3709,0,0,2661,0,28.26,0,00:00:15,00:00:45
2020-09-01,2777,0,0,2563,0,7.71,0,00:00:31,00:00:59
2020-08-01,3211,0,0,2811,0,12.46,0,00:00:41,00:01:10
2020-07-01,3763,0,0,3052,0,18.89,0,00:01:01,00:01:08
2020-06-01,7047,0,0,5412,0,23.2,0,00:01:31,00:01:05
2020-05-01,1621,0,0,1310,0,19.19,0,00:00:34,00:01:01
2020-04-01,2509,0,0,1395,0,44.4,0,00:00:06,00:01:32
2020-03-01,2022,0,0,1590,0,21.36,0,00:00:18,00:00:56
2020-02-01,2271,0,0,1842,0,18.89,0,00:00:11,00:01:55
2020-01-01,3948,0,0,3231,0,18.16,0,00:00:13,00:01:21
