Periodo,Cantidad Eventos,Número avisos de clientes por eventos (total),Tiempo promedio concurrencia ante eventos,Hora de Concurrencia Menor a 4 [Hr],Hora de Concurrencia Mayor a 4 [Hr],Porcentaje concurrencia menor a 4 [Hr],Porcentaje concurrencia mayor a 4 [Hr],Cantidad Eventos Operación Remota,Cantidad Eventos Operación Manual,Porcentaje falsas alarmas
2023-07-01,43,261,00:51:00,43,0,100.0,0.0,0,43,0.0
2023-06-01,61,362,01:31:00,55,6,90.2,9.8,0,61,0.0
2023-05-01,66,338,00:51:00,65,1,98.5,1.5,0,66,0.0
2023-04-01,63,493,03:13:00,53,10,84.1,15.9,0,63,0.0
2023-03-01,44,251,01:18:00,40,4,91.0,9.0,0,44,0.0
2023-02-01,93,618,03:16:57,70,23,75.0,25.0,0,93,0.0
2023-01-01,64,437,01:28:06,60,4,94.0,6.0,0,64,0.0
2022-12-01,76,330,01:29:51,73,3,96.0,4.0,0,76,0.0
2022-11-01,60,260,01:34:20,57,3,95.0,5.0,0,60,0.0
2022-10-01,76,362,01:50:53,68,8,89.0,11.0,0,76,0.0
2022-09-01,50,183,01:41:52,47,3,94.0,6.0,0,50,0.0
2022-08-01,79,485,01:53:10,69,10,87.0,13.0,0,79,0.0
